date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-01-21,sh.000001,3546.7495,3547.0003,3514.8853,3522.5679,3555.0629,32653488000,417768922557.8000,3,0.836699,1,-0.914049,0
2022-01-24,sh.000001,3508.2441,3531.6081,3500.1391,3524.1050,3522.5679,28026834200,358009694270.3000,3,0.717552,1,0.043636,0
2022-01-25,sh.000001,3509.2847,3519.8334,3433.0612,3433.0612,3524.1050,32735381300,383727737453.7000,3,0.838071,1,-2.583459,0
2022-01-26,sh.000001,3442.6916,3462.1233,3417.7585,3455.6679,3433.0612,27512282800,338312361452.2000,3,0.704352,1,0.658500,0
2022-01-27,sh.000001,3456.1021,3456.3630,3392.0154,3394.2474,3455.6679,28060653400,346533957923.7000,3,0.718099,1,-1.777384,0
2022-01-28,sh.000001,3407.5933,3417.0453,3356.5558,3361.4397,3394.2474,29085525700,353774612581.0000,3,0.744312,1,-0.966568,0
2022-02-07,sh.000001,3407.7621,3434.0256,3407.7621,3429.5809,3361.4397,32048521100,357140422916.9000,3,0.819752,1,2.027143,0
2022-02-08,sh.000001,3428.5424,3453.1863,3390.4578,3452.6288,3429.5809,36609386500,387969865736.4000,3,0.936204,1,0.672033,0
2022-02-09,sh.000001,3450.8180,3484.7390,3444.0848,3479.9458,3452.6288,35024993600,393719989770.0000,3,0.895523,1,0.791194,0
2022-02-10,sh.000001,3481.9101,3488.8552,3464.2169,3485.9071,3479.9458,35566626700,404969419399.4000,3,0.909368,1,0.171304,0
2022-02-11,sh.000001,3472.2757,3500.1471,3459.3299,3462.9479,3485.9071,36135609000,426297923498.3000,3,0.923915,1,-0.658629,0
2022-02-14,sh.000001,3451.8468,3457.2645,3415.4463,3428.8821,3462.9479,31527444800,361677855097.5000,3,0.806062,1,-0.983723,0
2022-02-15,sh.000001,3428.0447,3447.4917,3421.6403,3446.0885,3428.8821,27555932200,341638876451.7000,3,0.704237,1,0.501808,0
2022-02-16,sh.000001,3457.0730,3475.0576,3453.8014,3465.8305,3446.0885,27499391300,325563412529.2000,3,0.702792,1,0.572881,0
2022-02-17,sh.000001,3464.2091,3480.9719,3454.2767,3468.0354,3465.8305,29726268200,355783125696.6000,3,0.759711,1,0.063618,0
2022-02-18,sh.000001,3451.6318,3490.7573,3447.0273,3490.7573,3468.0354,29514996300,327220393283.1000,3,0.754294,1,0.655181,0
2022-02-21,sh.000001,3488.4057,3492.1994,3471.6858,3490.6123,3490.7573,30154174000,345398586146.4000,3,0.770301,1,-0.004154,0
2022-02-22,sh.000001,3473.2874,3473.3931,3437.6717,3457.1460,3490.6123,32627948400,387678927613.7000,3,0.833422,1,-0.958752,0
2022-02-23,sh.000001,3458.5139,3490.7633,3458.1795,3489.1465,3457.1460,32560489500,415630339823.4000,3,0.831435,1,0.925633,0
2022-02-24,sh.000001,3474.3692,3486.9773,3400.2136,3429.9564,3489.1465,48835490100,569794044219.7000,3,1.246940,1,-1.696406,0
2022-02-25,sh.000001,3445.3361,3480.1756,3440.9339,3451.4061,3429.9564,37754255600,441659490622.0000,3,0.963915,1,0.625364,0
2022-02-28,sh.000001,3450.3155,3462.3064,3425.5162,3462.3064,3451.4061,34583838800,413804526723.6000,3,0.882956,1,0.315822,0
2022-03-01,sh.000001,3471.3646,3491.1317,3465.7154,3488.8347,3462.3064,32600166200,412562471160.4000,3,0.831845,1,0.766203,0
