交易日期,证券代码,开盘价,最高价,最低价,收盘价,昨收价,成交量,成交额,复权状态,换手率,交易状态,涨跌幅,滚动市盈率,滚动市销率,滚动市现率,市净率,是否ST
2010-01-04,sz.000423,163.1126124000,164.9215094400,159.5571940800,159.8066971200,163.1126124000,4490099,116131694.9800,后复权,0.842911,正常交易,-2.026800,48.500164,8.694324,11.805525,7.460695,否
2010-01-05,sz.000423,160.9294608000,162.6759820800,157.1869152000,161.3037153600,159.8066971200,9122558,232693988.2500,后复权,1.712546,正常交易,0.936800,48.954498,8.775770,11.916115,7.530584,否
2010-01-06,sz.000423,160.3057032000,161.3037153600,158.4344304000,160.3057032000,161.3037153600,4131821,106024430.8200,后复权,0.775652,正常交易,-0.618700,48.651609,8.721473,11.842388,7.483991,否
2010-01-07,sz.000423,159.6819456000,159.9938244000,152.5087332000,152.8206120000,160.3057032000,8656105,214742494.0200,后复权,1.624980,正常交易,-4.669300,46.379939,8.314245,11.289436,7.134544,否
2010-01-08,sz.000423,152.8829877600,155.0037636000,151.8849756000,155.0037636000,152.8206120000,4517290,111154184.3700,后复权,0.848015,正常交易,1.428600,47.042509,8.433020,11.450714,7.236466,否
2010-01-11,sz.000423,155.3780181600,156.8750364000,152.5087332000,154.0681272000,155.0037636000,4605353,113898024.2000,后复权,0.864547,正常交易,-0.603600,46.758550,8.382116,11.381595,7.192785,否
2010-01-12,sz.000423,154.0681272000,163.1749881600,153.1324908000,157.1869152000,154.0681272000,7883346,200118570.1300,后复权,1.479913,正常交易,2.024300,47.705080,8.551795,11.611991,7.338388,否
2010-01-13,sz.000423,154.0681272000,161.5532184000,153.9433756800,160.3057032000,157.1869152000,8640152,221045127.7600,后复权,1.621986,正常交易,1.984100,48.651609,8.721473,11.842388,7.483991,否
2010-01-14,sz.000423,159.8066971200,167.1046610400,159.8066971200,164.0482488000,160.3057032000,7067611,186386074.5700,后复权,1.326778,正常交易,2.334600,49.787444,8.925087,12.118864,7.658715,否
2010-01-15,sz.000423,164.2353760800,165.9195216000,162.1146002400,162.8007336000,164.0482488000,7463524,195824845.3800,后复权,1.401101,正常交易,-0.760500,49.408832,8.857216,12.026705,7.600473,否
2010-01-18,sz.000423,162.1769760000,173.2798612800,162.1769760000,169.6620672000,162.8007336000,10257818,276710841.6900,后复权,1.925664,正常交易,4.214600,51.491197,9.230508,12.533578,7.920800,否
2010-01-19,sz.000423,169.7868187200,174.5897522400,167.6660428800,170.4105763200,169.6620672000,8974554,246598763.7300,后复权,1.684762,正常交易,0.441200,51.718364,9.271231,12.588873,7.955745,否
