交易日期,证券代码,开盘价,最高价,最低价,收盘价,昨收价,成交量,成交额,复权状态,换手率,交易状态,涨跌幅,滚动市盈率,滚动市销率,滚动市现率,市净率,是否ST
2010-01-04,sz.000421,36.2553229800,36.6416049600,35.8690410000,36.2001398400,36.0897735600,4433384,29201630.3800,后复权,1.577284,正常交易,0.305800,98.474410,1.361059,-25.567940,3.614033,否
2010-01-05,sz.000421,36.1449567000,36.7519712400,35.7586747200,36.7519712400,36.2001398400,6243779,41088983.7400,后复权,2.221376,正常交易,1.524400,99.975544,1.381807,-25.957695,3.669125,否
2010-01-06,sz.000421,36.6967881000,37.4141689200,36.5312386800,36.6967881000,36.7519712400,5868773,39400602.9900,后复权,2.087959,正常交易,-0.150200,99.825431,1.379732,-25.918720,3.663616,否
2010-01-07,sz.000421,36.7519712400,36.9175206600,35.2620264600,35.3723927400,36.6967881000,6305670,41014292.2700,后复权,2.243396,正常交易,-3.609000,96.222708,1.329937,-24.983307,3.531395,否
2010-01-08,sz.000421,35.2620264600,36.1449567000,34.9861107600,35.8138578600,35.3723927400,3991201,25619956.6000,后复权,1.419967,正常交易,1.248000,97.423616,1.346536,-25.295112,3.575469,否
2010-01-11,sz.000421,36.0345904200,36.5312386800,35.5931253000,36.1449567000,35.8138578600,4448802,29099608.8200,后复权,1.582770,正常交易,0.924500,98.324296,1.358984,-25.528965,3.608524,否
2010-01-12,sz.000421,35.8690410000,37.1382532200,35.6483084400,37.0830700800,36.1449567000,6615227,43923324.0900,后复权,2.353528,正常交易,2.595400,100.876225,1.394256,-26.191549,3.702180,否
2010-01-13,sz.000421,36.4208724000,37.8004509000,36.1449567000,37.0830700800,37.0830700800,10748746,72513444.7600,后复权,3.824128,正常交易,0.000000,100.876225,1.394256,-26.191549,3.702180,否
2010-01-14,sz.000421,37.1934363600,37.9108171800,36.8071543800,37.8004509000,37.0830700800,9889331,67264840.6300,后复权,3.518370,正常交易,1.934500,102.827699,1.421228,-26.698230,3.773800,否
2010-01-15,sz.000421,37.7452677600,37.9660003200,37.0278869400,37.2486195000,37.8004509000,7176779,48716758.1800,后复权,2.553314,正常交易,-1.459900,101.326565,1.400480,-26.308475,3.718708,否
2010-01-18,sz.000421,37.2486195000,38.5730148600,36.8623375200,38.2419160200,37.2486195000,9972194,68234318.3100,后复权,3.547851,正常交易,2.666700,104.028607,1.437826,-27.010034,3.817873,否
2010-01-19,sz.000421,38.1315497400,39.8974102200,37.9660003200,39.2903956800,38.2419160200,17695207,125040835.1400,后复权,5.032206,正常交易,2.741700,106.880762,1.477247,-27.750569,3.922548,否
2010-01-20,sz.000421,39.1800294000,39.4559451000,37.0830700800,37.0830700800,39.2903956800,12029261,83434428.9300,后复权,3.420910,正常交易,-5.618000,100.876225,1.394256,-26.191549,3.702180,否
2010-01-21,sz.000421,36.9727038000,38.0763666000,36.9175206600,37.5797183400,37.0830700800,6657661,45288736.8600,后复权,1.893322,正常交易,1.339300,102.227246,1.412929,-26.542328,3.751763,否
2010-01-22,sz.000421,37.1934363600,37.3589857800,35.6483084400,36.4208724000,37.5797183400,7320131,48406571.1100,后复权,2.081717,正常交易,-3.083700,99.074864,1.369358,-25.723842,3.636070,否
2010-01-25,sz.000421,36.0897735600,36.7519712400,35.9794072800,36.0345904200,36.4208724000,2979735,19606186.9600,后复权,0.847384,正常交易,-1.060600,98.024070,1.354835,-25.451014,3.597506,否
2010-01-26,sz.000421,36.0897735600,36.3105061200,34.6550119200,35.1516601800,36.0345904200,4765969,30411045.3800,后复权,1.355358,正常交易,-2.450200,95.622255,1.321638,-24.827405,3.509358,否
2010-01-27,sz.000421,35.2068433200,35.4275758800,34.4342793600,34.4342793600,35.1516601800,2627912,16644393.1900,后复权,0.747332,正常交易,-2.040800,93.670780,1.294666,-24.320724,3.437739,否
2010-01-28,sz.000421,34.5998287800,34.9861107600,34.2687299400,34.8757444800,34.4342793600,3160059,19843594.4000,后复权,0.898665,正常交易,1.282100,94.871688,1.311264,-24.632528,3.481812,否
2010-01-29,sz.000421,34.6550119200,35.3172096000,34.3239130800,34.7653782000,34.8757444800,2776788,17584805.2400,后复权,0.789670,正常交易,-0.316500,94.571461,1.307115,-24.554577,3.470794,否
2010-02-01,sz.000421,34.9861107600,34.9861107600,33.7168985400,34.2135468000,34.7653782000,2652892,16524258.9600,后复权,0.754436,正常交易,-1.587300,93.070326,1.286367,-24.164822,3.415702,否
2010-02-02,sz.000421,34.4342793600,34.9309276200,33.8824479600,33.9376311000,34.2135468000,2578098,16096748.6400,后复权,0.733166,正常交易,-0.806500,92.319759,1.275993,-23.969944,3.388156,否
2010-02-03,sz.000421,33.9376311000,34.7653782000,33.2202502800,34.7653782000,33.9376311000,3559682,22066117.4600,后复权,1.012311,正常交易,2.439000,94.571461,1.307115,-24.554577,3.470794,否
2010-02-04,sz.000421,34.5998287800,35.5931253000,34.4342793600,35.2068433200,34.7653782000,4259319,27167463.6900,后复权,1.211275,正常交易,1.269800,95.772368,1.323713,-24.866381,3.514868,否
2010-02-05,sz.000421,34.1031805200,36.0345904200,34.1031805200,35.2620264600,35.2068433200,4778236,30520532.0200,后复权,1.358846,正常交易,0.156700,95.922482,1.325788,-24.905356,3.520377,否
2010-02-08,sz.000421,35.2068433200,35.8690410000,35.0964770400,35.2620264600,35.2620264600,2106000,13521436.4400,后复权,0.598909,正常交易,0.000000,95.922482,1.325788,-24.905356,3.520377,否
2010-02-09,sz.000421,35.3172096000,35.7586747200,35.2620264600,35.7034915800,35.2620264600,2439321,15704080.0000,后复权,0.693700,正常交易,1.252000,97.123389,1.342386,-25.217161,3.564450,否
2010-02-10,sz.000421,36.0345904200,36.0345904200,35.4827590200,35.7034915800,35.7034915800,2135889,13812469.4800,后复权,0.607409,正常交易,0.000000,97.123389,1.342386,-25.217161,3.564450,否
2010-02-11,sz.000421,35.9794072800,36.4208724000,35.6483084400,35.7034915800,35.7034915800,3909757,25512022.0500,后复权,1.111866,正常交易,0.000000,97.123389,1.342386,-25.217161,3.564450,否
2010-02-12,sz.000421,35.8690410000,36.1449567000,35.7034915800,35.8690410000,35.7034915800,2275188,14799495.8400,后复权,0.647023,正常交易,0.463700,97.573729,1.348610,-25.334087,3.580978,否
2010-02-22,sz.000421,35.7034915800,36.2553229800,35.7034915800,35.8690410000,35.8690410000,2441243,15918110.3200,后复权,0.694247,正常交易,0.000000,97.573729,1.348610,-25.334087,3.580978,否
2010-02-23,sz.000421,35.7586747200,36.3656892600,35.2620264600,36.3105061200,35.8690410000,4208719,27304675.8600,后复权,1.196886,正常交易,1.230800,98.774637,1.365209,-25.645891,3.625052,否
2010-02-24,sz.000421,35.9794072800,37.0278869400,35.9242241400,36.9727038000,36.3105061200,5213689,34679964.4000,后复权,1.482681,正常交易,1.823700,100.575998,1.390106,-26.113597,3.691162,否
2010-02-25,sz.000421,37.0278869400,37.4693520600,36.7519712400,37.3038026400,36.9727038000,5328111,35904349.1500,后复权,1.515221,正常交易,0.895500,101.476678,1.402555,-26.347451,3.724217,否
2010-02-26,sz.000421,37.0830700800,37.6349014800,37.0830700800,37.4693520600,37.3038026400,4461852,30258376.6300,后复权,1.268872,正常交易,0.443800,101.927019,1.408779,-26.464377,3.740745,否
2010-03-01,sz.000421,37.5245352000,38.4074654400,37.4141689200,38.1315497400,37.4693520600,6610102,45641942.9300,后复权,1.879797,正常交易,1.767300,103.728380,1.433676,-26.932083,3.806855,否
2010-03-02,sz.000421,38.1315497400,38.6281980000,37.3038026400,37.8004509000,38.1315497400,8022281,54968579.1600,后复权,2.281396,正常交易,-0.868300,102.827699,1.421228,-26.698230,3.773800,否
