date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000425,155.1443520000,160.8741150000,154.9680516000,159.1111110000,154.7917512000,5327316,192371243.0100,1,1.513606,1,2.790400,172.116841,7.582592,13.510103,7.945740,0
2010-01-05,sz.000425,159.7722375000,160.6096644000,155.7614034000,158.3177592000,159.1111110000,3597065,128714928.1400,1,1.022004,1,-0.498600,171.258641,7.544785,13.442740,7.906122,0
2010-01-06,sz.000425,158.3618343000,162.3285933000,157.8770082000,158.9788857000,158.3177592000,3999167,145850843.1800,1,1.136250,1,0.417600,171.973808,7.576291,13.498876,7.939137,0
2010-01-07,sz.000425,158.9788857000,162.4167435000,153.3813480000,155.1443520000,158.9788857000,6709297,243042849.2800,1,1.906257,1,-2.412000,167.825840,7.393553,13.173286,7.747647,0
2010-01-08,sz.000425,154.4832255000,154.4832255000,147.5634348000,150.7809171000,155.1443520000,5428450,184723049.9800,1,1.542340,1,-2.812500,163.105738,7.185609,12.802788,7.529745,0
2010-01-11,sz.000425,151.4420436000,153.8220990000,147.0345336000,149.4145890000,150.7809171000,8020455,270383848.7200,1,2.278785,1,-0.906200,161.627726,7.120495,12.686773,7.461513,0
2010-01-12,sz.000425,149.3705139000,151.6183440000,147.1667589000,151.2216681000,149.4145890000,7086024,240388898.7000,1,2.013293,1,1.209400,163.582516,7.206614,12.840212,7.551755,0
2010-01-13,sz.000425,148.7534625000,150.7368420000,147.1667589000,148.3127115000,151.2216681000,5433934,183399467.3700,1,1.543899,1,-1.923600,160.435781,7.067984,12.593213,7.406487,0
2010-01-14,sz.000425,148.9297629000,150.9572175000,145.2715296000,150.8690673000,148.3127115000,8346903,280391123.0200,1,2.371536,1,1.723600,163.201094,7.189810,12.810273,7.534147,0
2010-01-15,sz.000425,155.5851030000,165.9427515000,155.4528777000,165.9427515000,150.8690673000,19879095,726383687.9100,1,5.648082,1,9.991200,179.506900,7.908161,14.090177,8.286901,0
2010-01-18,sz.000425,168.8076330000,169.6450599000,163.5186210000,166.6920282000,165.9427515000,11999724,453794611.8200,1,3.409382,1,0.451500,180.317422,7.943868,14.153798,8.324319,0
2010-01-19,sz.000425,166.7801784000,176.5207755000,166.7801784000,172.2895659000,166.6920282000,15514721,607682004.4200,1,4.408069,1,3.358000,186.372502,8.210624,14.629084,8.603850,0
2010-01-20,sz.000425,171.8928900000,176.3004000000,170.3502615000,171.1876884000,172.2895659000,14552913,571200157.3400,1,4.134798,1,-0.639500,185.180557,8.158113,14.535524,8.548824,0
