date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000411,14.3078306800,14.5060000800,14.2285629200,14.2483798600,14.2880137400,2165632,15683736.0000,1,1.063489,1,-0.277400,64.440450,0.316882,-19.487422,9.542667,0
2010-01-05,sz.000411,14.2483798600,14.4663662000,13.9907596400,14.4663662000,14.2483798600,2599744,18659646.7900,1,1.276670,1,1.529900,65.426326,0.321730,-19.785561,9.688660,0
2010-01-06,sz.000411,14.4069153800,14.7636203000,14.3870984400,14.6050847800,14.4663662000,4089283,30107215.7100,1,2.008146,1,0.958900,66.053702,0.324815,-19.975285,9.781565,0
2010-01-07,sz.000411,14.6249017200,14.7239864200,14.1492951600,14.2681968000,14.6050847800,3180870,23196511.2100,1,1.562047,1,-2.306600,64.530075,0.317322,-19.514526,9.555939,0
2010-01-08,sz.000411,14.1294782200,14.4663662000,14.0303935200,14.4465492600,14.2681968000,1760450,12647251.2900,1,0.864514,1,1.250000,65.336701,0.321289,-19.758457,9.675388,0
2010-01-11,sz.000411,14.5060000800,14.6447186600,14.2483798600,14.4267323200,14.4465492600,2281223,16605448.8400,1,1.120253,1,-0.137200,65.247076,0.320848,-19.731354,9.662116,0
2010-01-12,sz.000411,14.4267323200,15.2788607400,14.3870984400,15.2788607400,14.4267323200,8904346,67319830.1800,1,4.372706,1,5.906600,69.100955,0.339799,-20.896804,10.232818,0
2010-01-13,sz.000411,15.1401421600,15.3977623800,14.8825219400,14.9221558200,15.2788607400,6719982,51278631.0100,1,3.300018,1,-2.334600,67.487703,0.331866,-20.408941,9.993919,0
2010-01-14,sz.000411,15.0410574600,15.3184946200,14.9617897000,15.2392268600,14.9221558200,4272079,32702393.4900,1,2.097913,1,2.124800,68.921705,0.338918,-20.842597,10.206274,0
2010-01-15,sz.000411,15.2194099200,15.5562979000,15.1203252200,15.3184946200,15.2392268600,5319374,41211592.2400,1,2.612214,1,0.520200,69.280205,0.340681,-20.951011,10.259362,0
2010-01-18,sz.000411,15.2590438000,15.5166640200,15.0806913400,15.4572132000,15.3184946200,3854616,29848452.5300,1,1.892907,1,0.905600,69.907581,0.343766,-21.140736,10.352267,0
2010-01-19,sz.000411,15.5562979000,15.5959317800,15.1995929800,15.2788607400,15.4572132000,3236166,25008656.7800,1,1.589202,1,-1.153800,69.100955,0.339799,-20.896804,10.232818,0
2010-01-20,sz.000411,15.3581285000,15.5166640200,14.5456339600,14.6249017200,15.2788607400,4593166,34911471.7000,1,2.255591,1,-4.280200,66.143327,0.325255,-20.002389,9.794837,0
2010-01-21,sz.000411,14.6249017200,14.9023388800,14.5654509000,14.8230711200,14.6249017200,2335250,17368606.4800,1,1.146784,1,1.355000,67.039578,0.329663,-20.273424,9.927559,0
2010-01-22,sz.000411,14.7834372400,14.7834372400,14.0502104600,14.2880137400,14.8230711200,2968705,21526916.3600,1,1.457858,1,-3.609600,64.619700,0.317763,-19.541629,9.569211,0
2010-01-25,sz.000411,14.2483798600,14.3672815000,14.0898443400,14.0898443400,14.2880137400,1863706,13369116.6400,1,0.915220,1,-1.387000,63.723449,0.313356,-19.270594,9.436490,0
2010-01-26,sz.000411,14.0700274000,14.2483798600,13.6538716600,13.8124071800,14.0898443400,2173180,15262148.5600,1,1.067195,1,-1.969100,62.468698,0.307186,-18.891145,9.250680,0
2010-01-27,sz.000411,13.8124071800,14.1492951600,13.6935055400,13.9511257600,13.8124071800,1306140,9180033.3200,1,0.641413,1,1.004300,63.096073,0.310271,-19.080869,9.343585,0
2010-01-28,sz.000411,14.0700274000,14.3474645600,13.9511257600,14.2681968000,13.9511257600,1632588,11698718.0200,1,0.801724,1,2.272700,64.530075,0.317322,-19.514526,9.555939,0
2010-01-29,sz.000411,14.1294782200,15.6157487200,14.1294782200,15.0806913400,14.2681968000,7826138,59228978.5500,1,3.843224,1,5.694400,68.204704,0.335392,-20.625769,10.100096,0
2010-02-01,sz.000411,14.9816066400,15.9130028200,14.7239864200,15.5166640200,15.0806913400,13591537,106468308.5100,1,6.674470,1,2.890900,70.176457,0.345088,-21.222047,10.392083,0
2010-02-02,sz.000411,15.2590438000,16.2697077400,15.1401421600,15.6157487200,15.5166640200,11173543,88934201.1600,1,5.487053,1,0.638600,70.624582,0.347292,-21.357564,10.458444,0
2010-02-03,sz.000411,15.7346503600,16.0319044600,15.1995929800,15.9724536400,15.6157487200,10418799,82594866.7500,1,5.116416,1,2.284300,72.237834,0.355225,-21.845427,10.697343,0
2010-02-04,sz.000411,15.8931858800,16.2498908000,15.5959317800,15.9922705800,15.9724536400,9582774,76698086.8700,1,4.705865,1,0.124100,72.327459,0.355665,-21.872531,10.710615,0
2010-02-05,sz.000411,15.6157487200,15.7148334200,15.1401421600,15.3581285000,15.9922705800,6709399,52218062.6000,1,3.294821,1,-3.965300,69.459456,0.341562,-21.005218,10.285906,0
2010-02-08,sz.000411,15.2590438000,16.9038498200,15.2194099200,16.4876940800,15.3581285000,20013012,166940232.9600,1,9.827899,1,7.354800,74.568087,0.366684,-22.550118,11.042418,0
2010-02-09,sz.000411,16.0715383400,16.2498908000,15.5562979000,15.7544673000,16.4876940800,10014461,80432323.4300,1,4.917856,1,-4.447100,71.251958,0.350377,-21.547289,10.551349,0
2010-02-10,sz.000411,15.7148334200,16.3886093800,15.6751995400,16.0120875200,15.7544673000,5715448,46258724.4900,1,2.806716,1,1.635200,72.417084,0.356106,-21.899634,10.723887,0
