date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-27,sz.000410,21.7733780000,22.3769964000,21.7733780000,21.9889560000,22.0751872000,3447183,35371456.8500,1,0.643188,1,-0.390600,-137.779571,0.922431,44.458010,4.524678,0
2010-01-28,sz.000410,22.2045340000,22.5063432000,21.9889560000,22.2476496000,21.9889560000,2774367,28615243.3900,1,0.517651,1,1.176500,-139.400507,0.933283,44.981046,4.577909,0
2010-01-29,sz.000410,22.1829762000,22.7434790000,21.8164936000,22.3123230000,22.2476496000,3392328,35349625.3900,1,0.632953,1,0.290700,-139.805741,0.935996,45.111804,4.591217,0
2010-02-01,sz.000410,22.4416698000,22.5925744000,21.7733780000,21.9027248000,22.3123230000,3125629,31798519.5700,1,0.583191,1,-1.835700,-137.239258,0.918813,44.283665,4.506934,0
2010-02-02,sz.000410,21.9889560000,22.8081524000,21.9889560000,22.1614184000,21.9027248000,3997351,41717870.5800,1,0.745840,1,1.181100,-138.860195,0.929666,44.806700,4.560166,0
2010-02-03,sz.000410,22.1614184000,22.5279010000,21.4500110000,22.4632276000,22.1614184000,4062150,41580855.1700,1,0.757931,1,1.361900,-140.751287,0.942326,45.416908,4.622269,0
2010-02-04,sz.000410,22.3985542000,23.1746350000,22.2045340000,22.8297102000,22.4632276000,4960130,52647056.8100,1,0.925479,1,1.631500,-143.047613,0.957700,46.157875,4.697680,0
2010-02-05,sz.000410,22.4201120000,23.4980020000,22.2045340000,23.0021726000,22.8297102000,5877142,62450202.8100,1,1.096578,1,0.755400,-144.128237,0.964935,46.506566,4.733168,0
2010-02-08,sz.000410,22.9806148000,24.1447360000,22.8081524000,23.2608662000,23.0021726000,6935599,75735972.8800,1,1.294069,1,1.124600,-145.749173,0.975787,47.029601,4.786399,0
2010-02-09,sz.000410,22.7865946000,23.2608662000,22.6572478000,22.8081524000,23.2608662000,3512212,37224194.7600,1,0.655321,1,-1.946200,-142.912535,0.956796,46.114289,4.693244,0
2010-02-10,sz.000410,23.2177506000,23.2393084000,22.5925744000,22.9374992000,22.8081524000,3479489,36857564.0300,1,0.649216,1,0.567100,-143.723003,0.962222,46.375807,4.719860,0
2010-02-11,sz.000410,22.9590570000,23.0668460000,22.5279010000,22.5279010000,22.9374992000,2946032,31078099.1100,1,0.549681,1,-1.785700,-141.156521,0.945039,45.547667,4.635577,0
2010-02-12,sz.000410,22.9590570000,24.5327764000,22.8512680000,23.6489066000,22.5279010000,7960204,88000956.3200,1,1.485244,1,4.976100,-148.180577,0.992065,47.814154,4.866247,0
2010-02-22,sz.000410,23.4980020000,23.6273488000,23.0237304000,23.5195598000,23.6489066000,5355399,57798514.5000,1,0.999230,1,-0.546900,-147.370109,0.986639,47.552636,4.839631,0
2010-02-23,sz.000410,23.2824240000,23.6057910000,23.0884038000,23.5626754000,23.5195598000,3740079,40518656.6600,1,0.697837,1,0.183300,-147.640265,0.988448,47.639809,4.848503,0
2010-02-24,sz.000410,23.5842332000,24.0369470000,23.3470974000,23.9938314000,23.5626754000,6335562,70005795.8900,1,1.182112,1,1.829800,-150.341825,1.006535,48.511535,4.937222,0
2010-02-25,sz.000410,23.9722736000,24.7914700000,23.7782534000,24.5974498000,23.9938314000,11251177,127074059.4500,1,2.099285,1,2.515700,-154.124010,1.031856,49.731951,5.061429,0
2010-02-26,sz.000410,24.4896608000,25.0286058000,24.2094094000,24.5112186000,24.5974498000,9679250,110859123.6400,1,1.805989,1,-0.350600,-153.583698,1.028239,49.557605,5.043685,0
2010-03-01,sz.000410,24.5758920000,24.8130278000,24.3603140000,24.4896608000,24.5112186000,7616299,86783488.8900,1,1.421077,1,-0.088000,-153.448620,1.027335,49.514019,5.039249,0
2010-03-02,sz.000410,24.4896608000,24.6405654000,24.0153892000,24.3603140000,24.4896608000,6985952,78509435.1900,1,1.303464,1,-0.528200,-152.638152,1.021909,49.252501,5.012633,0
2010-03-03,sz.000410,24.3387562000,25.1795104000,24.1662938000,24.9854902000,24.3603140000,11351961,130860077.0300,1,2.118090,1,2.566400,-156.555414,1.048135,50.516504,5.141276,0
2010-03-04,sz.000410,24.8992590000,25.2010682000,23.1961928000,23.3686552000,24.9854902000,15039154,167833825.7900,1,2.806060,1,-6.471100,-146.424563,0.980309,47.247532,4.808579,0
2010-03-05,sz.000410,23.4117708000,23.7135800000,23.0668460000,23.3255396000,23.3686552000,5532846,60049011.9800,1,1.032338,1,-0.184500,-146.154407,0.978500,47.160360,4.799707,0
2010-03-08,sz.000410,23.3255396000,23.5842332000,23.2824240000,23.5626754000,23.3255396000,3941550,42867640.3900,1,0.735429,1,1.016600,-147.640265,0.988448,47.639809,4.848503,0
