date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000421,36.2553229800,36.6416049600,35.8690410000,36.2001398400,36.0897735600,4433384,29201630.3800,1,1.577284,1,0.305800,98.474410,1.361059,-25.567940,3.614033,0
2010-01-05,sz.000421,36.1449567000,36.7519712400,35.7586747200,36.7519712400,36.2001398400,6243779,41088983.7400,1,2.221376,1,1.524400,99.975544,1.381807,-25.957695,3.669125,0
2010-01-06,sz.000421,36.6967881000,37.4141689200,36.5312386800,36.6967881000,36.7519712400,5868773,39400602.9900,1,2.087959,1,-0.150200,99.825431,1.379732,-25.918720,3.663616,0
2010-01-07,sz.000421,36.7519712400,36.9175206600,35.2620264600,35.3723927400,36.6967881000,6305670,41014292.2700,1,2.243396,1,-3.609000,96.222708,1.329937,-24.983307,3.531395,0
2010-01-08,sz.000421,35.2620264600,36.1449567000,34.9861107600,35.8138578600,35.3723927400,3991201,25619956.6000,1,1.419967,1,1.248000,97.423616,1.346536,-25.295112,3.575469,0
2010-01-11,sz.000421,36.0345904200,36.5312386800,35.5931253000,36.1449567000,35.8138578600,4448802,29099608.8200,1,1.582770,1,0.924500,98.324296,1.358984,-25.528965,3.608524,0
2010-01-12,sz.000421,35.8690410000,37.1382532200,35.6483084400,37.0830700800,36.1449567000,6615227,43923324.0900,1,2.353528,1,2.595400,100.876225,1.394256,-26.191549,3.702180,0
2010-01-13,sz.000421,36.4208724000,37.8004509000,36.1449567000,37.0830700800,37.0830700800,10748746,72513444.7600,1,3.824128,1,0.000000,100.876225,1.394256,-26.191549,3.702180,0
2010-01-14,sz.000421,37.1934363600,37.9108171800,36.8071543800,37.8004509000,37.0830700800,9889331,67264840.6300,1,3.518370,1,1.934500,102.827699,1.421228,-26.698230,3.773800,0
2010-01-15,sz.000421,37.7452677600,37.9660003200,37.0278869400,37.2486195000,37.8004509000,7176779,48716758.1800,1,2.553314,1,-1.459900,101.326565,1.400480,-26.308475,3.718708,0
2010-01-18,sz.000421,37.2486195000,38.5730148600,36.8623375200,38.2419160200,37.2486195000,9972194,68234318.3100,1,3.547851,1,2.666700,104.028607,1.437826,-27.010034,3.817873,0
2010-01-19,sz.000421,38.1315497400,39.8974102200,37.9660003200,39.2903956800,38.2419160200,17695207,125040835.1400,1,5.032206,1,2.741700,106.880762,1.477247,-27.750569,3.922548,0
2010-01-20,sz.000421,39.1800294000,39.4559451000,37.0830700800,37.0830700800,39.2903956800,12029261,83434428.9300,1,3.420910,1,-5.618000,100.876225,1.394256,-26.191549,3.702180,0
2010-01-21,sz.000421,36.9727038000,38.0763666000,36.9175206600,37.5797183400,37.0830700800,6657661,45288736.8600,1,1.893322,1,1.339300,102.227246,1.412929,-26.542328,3.751763,0
2010-01-22,sz.000421,37.1934363600,37.3589857800,35.6483084400,36.4208724000,37.5797183400,7320131,48406571.1100,1,2.081717,1,-3.083700,99.074864,1.369358,-25.723842,3.636070,0
2010-01-25,sz.000421,36.0897735600,36.7519712400,35.9794072800,36.0345904200,36.4208724000,2979735,19606186.9600,1,0.847384,1,-1.060600,98.024070,1.354835,-25.451014,3.597506,0
2010-01-26,sz.000421,36.0897735600,36.3105061200,34.6550119200,35.1516601800,36.0345904200,4765969,30411045.3800,1,1.355358,1,-2.450200,95.622255,1.321638,-24.827405,3.509358,0
2010-01-27,sz.000421,35.2068433200,35.4275758800,34.4342793600,34.4342793600,35.1516601800,2627912,16644393.1900,1,0.747332,1,-2.040800,93.670780,1.294666,-24.320724,3.437739,0
2010-01-28,sz.000421,34.5998287800,34.9861107600,34.2687299400,34.8757444800,34.4342793600,3160059,19843594.4000,1,0.898665,1,1.282100,94.871688,1.311264,-24.632528,3.481812,0
2010-01-29,sz.000421,34.6550119200,35.3172096000,34.3239130800,34.7653782000,34.8757444800,2776788,17584805.2400,1,0.789670,1,-0.316500,94.571461,1.307115,-24.554577,3.470794,0
2010-02-01,sz.000421,34.9861107600,34.9861107600,33.7168985400,34.2135468000,34.7653782000,2652892,16524258.9600,1,0.754436,1,-1.587300,93.070326,1.286367,-24.164822,3.415702,0
2010-02-02,sz.000421,34.4342793600,34.9309276200,33.8824479600,33.9376311000,34.2135468000,2578098,16096748.6400,1,0.733166,1,-0.806500,92.319759,1.275993,-23.969944,3.388156,0
2010-02-03,sz.000421,33.9376311000,34.7653782000,33.2202502800,34.7653782000,33.9376311000,3559682,22066117.4600,1,1.012311,1,2.439000,94.571461,1.307115,-24.554577,3.470794,0
2010-02-04,sz.000421,34.5998287800,35.5931253000,34.4342793600,35.2068433200,34.7653782000,4259319,27167463.6900,1,1.211275,1,1.269800,95.772368,1.323713,-24.866381,3.514868,0
2010-02-05,sz.000421,34.1031805200,36.0345904200,34.1031805200,35.2620264600,35.2068433200,4778236,30520532.0200,1,1.358846,1,0.156700,95.922482,1.325788,-24.905356,3.520377,0
2010-02-08,sz.000421,35.2068433200,35.8690410000,35.0964770400,35.2620264600,35.2620264600,2106000,13521436.4400,1,0.598909,1,0.000000,95.922482,1.325788,-24.905356,3.520377,0
2010-02-09,sz.000421,35.3172096000,35.7586747200,35.2620264600,35.7034915800,35.2620264600,2439321,15704080.0000,1,0.693700,1,1.252000,97.123389,1.342386,-25.217161,3.564450,0
2010-02-10,sz.000421,36.0345904200,36.0345904200,35.4827590200,35.7034915800,35.7034915800,2135889,13812469.4800,1,0.607409,1,0.000000,97.123389,1.342386,-25.217161,3.564450,0
