date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-01-04,sh.600000,8.5400,8.5800,8.5200,8.5700,8.5300,37707647,322145532.4000,3,0.128500,1,0.468900,0
2022-01-05,sh.600000,8.5700,8.6800,8.5600,8.6400,8.5700,55459135,478834469.9200,3,0.188900,1,0.816800,0
2022-01-06,sh.600000,8.6600,8.6600,8.5600,8.5700,8.6400,41031062,352720657.0900,3,0.139800,1,-0.810200,0
2022-01-07,sh.600000,8.5700,8.7300,8.5700,8.7100,8.5700,63018297,546456194.3700,3,0.214700,1,1.633600,0
2022-01-10,sh.600000,8.7200,8.7800,8.6600,8.7200,8.7100,34055312,296601230.4100,3,0.116000,1,0.114800,0
2022-01-11,sh.600000,8.7400,8.7800,8.6900,8.7300,8.7200,42646106,373093383.7400,3,0.145300,1,0.114700,0
2022-01-12,sh.600000,8.7500,8.7500,8.6300,8.6900,8.7300,41240670,358535694.1400,3,0.140500,1,-0.458200,0
2022-01-13,sh.600000,8.7300,8.8500,8.6900,8.7200,8.6900,48923692,429003208.4400,3,0.166700,1,0.345200,0
2022-01-14,sh.600000,8.7200,8.7200,8.5700,8.5900,8.7200,51060652,440215953.7200,3,0.174000,1,-1.490800,0
2022-01-17,sh.600000,8.5700,8.6300,8.5700,8.5700,8.5900,22177975,190459847.0600,3,0.075600,1,-0.232800,0
2022-01-18,sh.600000,8.5800,8.6600,8.5500,8.6300,8.5700,39995195,344181260.4900,3,0.136300,1,0.700100,0
2022-01-19,sh.600000,8.6300,8.6600,8.6100,8.6400,8.6300,26257662,226931296.8300,3,0.089500,1,0.115900,0
2022-01-20,sh.600000,8.6600,8.8200,8.6400,8.8000,8.6400,82842044,724160482.5900,3,0.282200,1,1.851900,0
2022-01-21,sh.600000,8.7800,8.8000,8.7200,8.7600,8.8000,47572539,416684184.3000,3,0.162100,1,-0.454500,0
2022-01-24,sh.600000,8.7900,8.7900,8.6600,8.6900,8.7600,32489722,282465419.0500,3,0.110700,1,-0.799100,0
2022-01-25,sh.600000,8.6800,8.6800,8.5600,8.5600,8.6900,43312412,372488758.8800,3,0.147600,1,-1.496000,0
2022-01-26,sh.600000,8.5700,8.5900,8.5400,8.5700,8.5600,23481959,201130974.2700,3,0.080000,1,0.116800,0
2022-01-27,sh.600000,8.5500,8.5600,8.4500,8.4500,8.5700,56281031,477716811.3400,3,0.191700,1,-1.400200,0
2022-01-28,sh.600000,8.4800,8.5100,8.4100,8.4100,8.4500,43993766,372256637.0700,3,0.149900,1,-0.473400,0
2022-02-07,sh.600000,8.4800,8.5500,8.4400,8.5200,8.4100,39988312,340086709.1100,3,0.136200,1,1.308000,0
2022-02-08,sh.600000,8.5300,8.6700,8.5100,8.6500,8.5200,47572520,409206610.6900,3,0.162100,1,1.525800,0
2022-02-09,sh.600000,8.6400,8.7100,8.6200,8.6400,8.6500,36223235,313861238.6700,3,0.123400,1,-0.115600,0
2022-02-10,sh.600000,8.6600,8.7100,8.6200,8.6900,8.6400,28716174,249045193.5500,3,0.097800,1,0.578700,0
2022-02-11,sh.600000,8.7000,8.7600,8.6700,8.7400,8.6900,37682874,328719166.0900,3,0.128400,1,0.575400,0
2022-02-14,sh.600000,8.6900,8.7100,8.5800,8.6000,8.7400,34727078,299136397.9200,3,0.118300,1,-1.601800,0
2022-02-15,sh.600000,8.5900,8.6300,8.5200,8.5500,8.6000,31680750,271300746.9500,3,0.107900,1,-0.581400,0
2022-02-16,sh.600000,8.5800,8.6400,8.5600,8.5900,8.5500,28609574,246064337.0200,3,0.097500,1,0.467800,0
2022-02-17,sh.600000,8.6000,8.6300,8.5600,8.5600,8.5900,24533221,210822959.4100,3,0.083600,1,-0.349200,0
2022-02-18,sh.600000,8.5500,8.6700,8.5300,8.6700,8.5600,34384620,296119868.3800,3,0.117100,1,1.285000,0
2022-02-21,sh.600000,8.6400,8.6400,8.5500,8.6000,8.6700,24334270,208998929.5600,3,0.082900,1,-0.807400,0
2022-02-22,sh.600000,8.5700,8.5900,8.5300,8.5800,8.6000,32497174,278140362.1900,3,0.110700,1,-0.232600,0
2022-02-23,sh.600000,8.5900,8.5900,8.5300,8.5400,8.5800,29476392,251902283.1900,3,0.100400,1,-0.466200,0
2022-02-24,sh.600000,8.5400,8.5500,8.4000,8.4400,8.5400,47703559,404232342.3300,3,0.162500,1,-1.171000,0
2022-02-25,sh.600000,8.4400,8.4800,8.4100,8.4300,8.4400,32239910,272095573.8500,3,0.109800,1,-0.118500,0
2022-02-28,sh.600000,8.4400,8.4500,8.3600,8.3900,8.4300,23393262,196216444.0000,3,0.079700,1,-0.474500,0
2022-03-01,sh.600000,8.3900,8.4600,8.3900,8.4400,8.3900,23540305,198243687.0000,3,0.080200,1,0.595900,0
2022-03-02,sh.600000,8.4100,8.4600,8.4000,8.4200,8.4400,16708051,140817898.0000,3,0.056900,1,-0.237000,0
2022-03-03,sh.600000,8.4400,8.5000,8.4300,8.4600,8.4200,19864647,167938715.0000,3,0.067700,1,0.475100,0
