date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-01-25,sz.399001,14018.9314,14091.8785,13682.7232,13683.8949,14081.7951,44610545744,553134101915.8600,3,1.422386,1,-2.825635,0
2022-01-26,sz.399001,13742.0250,13820.9407,13580.3995,13780.3008,13683.8949,35128831501,455865831062.3300,3,1.121104,1,0.704521,0
2022-01-27,sz.399001,13756.8734,13773.4998,13395.3564,13398.8443,13780.3008,37319445338,476438480180.3700,3,1.188361,1,-2.768129,0
2022-01-28,sz.399001,13515.4659,13553.2220,13227.8326,13328.0559,13398.8443,35889292717,465106774523.5200,3,1.163620,1,-0.528317,0
2022-02-07,sz.399001,13558.9445,13632.4474,13412.2027,13456.6473,13328.0559,37163439353,465994019388.0500,3,1.254993,1,0.964817,0
2022-02-08,sz.399001,13432.0783,13432.3347,13051.8025,13325.4117,13456.6473,39413310313,490826040519.0700,3,1.305402,1,-0.975247,0
2022-02-09,sz.399001,13321.8058,13541.8744,13283.2012,13531.3104,13325.4117,43044232299,538058905082.0500,3,1.437545,1,1.545158,0
2022-02-10,sz.399001,13537.3055,13537.3055,13339.4972,13432.0677,13531.3104,40894157155,531355975437.8400,3,1.360693,1,-0.733430,0
2022-02-11,sz.399001,13360.3973,13452.7239,13206.6259,13224.3775,13432.0677,44176180143,565245646607.4800,3,1.448448,1,-1.546227,0
2022-02-14,sz.399001,13140.3522,13280.0758,13049.4503,13123.2122,13224.3775,39144947071,500778935100.1500,3,1.277175,1,-0.764991,0
2022-02-15,sz.399001,13143.1028,13346.6735,13138.4417,13345.6264,13123.2122,37139160803,485858666191.8900,3,1.073502,1,1.694815,0
2022-02-16,sz.399001,13403.6361,13446.0606,13339.7969,13376.3566,13345.6264,37530877510,481453456305.6000,3,0.992306,1,0.230264,0
2022-02-17,sz.399001,13360.4576,13490.8604,13322.6854,13422.8992,13376.3566,42928561256,553015968538.4000,3,1.120119,1,0.347947,0
2022-02-18,sz.399001,13334.8963,13460.2109,13316.4715,13459.6804,13422.8992,38837049683,480329814267.7100,3,1.132118,1,0.274018,0
2022-02-21,sz.399001,13464.8516,13503.0892,13404.7307,13471.1571,13459.6804,44801214227,555046537670.0700,3,1.313452,1,0.085267,0
2022-02-22,sz.399001,13384.0295,13384.0295,13216.6336,13297.1074,13471.1571,45691784106,590595879353.2200,3,1.344340,1,-1.292017,0
2022-02-23,sz.399001,13319.8729,13553.2676,13319.8729,13549.9854,13297.1074,45406101316,625266219094.3400,3,1.343150,1,1.901752,0
2022-02-24,sz.399001,13459.0063,13538.7098,13093.9683,13252.2412,13549.9854,62904562120,792905223546.5200,3,1.888355,1,-2.197377,0
