date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000402,217.9202112000,218.2786326000,209.6765190000,209.8557297000,217.3825791000,61171723,725948291.9200,1,2.551980,1,-3.462500,17.955656,5.280140,7.809310,1.929166,0
2010-01-05,sz.000402,210.2141511000,211.1102046000,202.1496696000,205.1962515000,209.8557297000,68973423,789144679.5900,1,2.877453,1,-2.220300,17.556982,5.162904,7.635918,1.886332,0
2010-01-06,sz.000402,204.3001980000,209.1388869000,202.8665124000,205.9130943000,205.1962515000,45950395,527781603.6500,1,1.916972,1,0.349300,17.618317,5.180940,7.662594,1.892922,0
2010-01-07,sz.000402,205.0170408000,210.5725725000,203.7625659000,206.8091478000,205.9130943000,45785124,528142502.3700,1,1.910077,1,0.435200,17.694985,5.203486,7.695939,1.901159,0
2010-01-08,sz.000402,206.0923050000,209.6765190000,205.1962515000,209.1388869000,206.8091478000,34740420,403014213.7100,1,1.449311,1,1.126500,17.894322,5.262104,7.782635,1.922576,0
2010-01-11,sz.000402,211.4686260000,212.7231009000,201.0744054000,203.7625659000,209.1388869000,55600775,637547171.3800,1,2.319569,1,-2.570700,17.434313,5.126831,7.582567,1.873152,0
2010-01-12,sz.000402,203.7625659000,206.4507264000,198.9238770000,206.0923050000,203.7625659000,58172675,656359341.8500,1,2.426865,1,1.143400,17.633650,5.185449,7.669263,1.894569,0
2010-01-13,sz.000402,199.9991412000,201.7912482000,197.3109807000,198.5654556000,206.0923050000,55749462,620308188.0800,1,2.325772,1,-3.652200,16.989639,4.996068,7.389168,1.825376,0
2010-01-14,sz.000402,198.5654556000,200.7159840000,196.2357165000,199.9991412000,198.5654556000,34265693,380355829.5000,1,1.429506,1,0.722000,17.112308,5.032140,7.442519,1.838556,0
2010-01-15,sz.000402,200.1783519000,203.9417766000,199.6407198000,202.5080910000,199.9991412000,49630167,560731098.6800,1,2.070486,1,1.254500,17.326978,5.095268,7.535884,1.861620,0
2010-01-18,sz.000402,202.6873017000,207.1675692000,201.7912482000,206.0923050000,202.5080910000,51785319,592497895.2100,1,2.160395,1,1.769900,17.633650,5.185449,7.669263,1.894569,0
