date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000428,58.6438674400,59.3125546400,58.1757864000,58.7776048800,58.1757864000,5527543,48533465.8100,1,1.831766,1,1.034500,45.378624,4.180285,-5392.096747,3.880315,0
2010-01-05,sz.000428,58.8444736000,59.4462920800,58.0420489600,58.6438674400,58.7776048800,4847346,42409051.4800,1,1.606357,1,-0.227500,45.275374,4.170774,-5379.828040,3.871486,0
2010-01-06,sz.000428,58.7107361600,59.3125546400,57.6408366400,58.5101300000,58.6438674400,7920194,69230790.8700,1,2.624664,1,-0.228100,45.172123,4.161262,-5367.559333,3.862657,0
2010-01-07,sz.000428,58.3763925600,59.5131608000,57.5070992000,58.1757864000,58.5101300000,10421653,91251844.1400,1,3.453620,1,-0.571400,44.913997,4.137484,-5336.887565,3.840584,0
2010-01-08,sz.000428,57.5070992000,57.8414428000,56.1028560800,57.5739679200,58.1757864000,7050962,59918803.9400,1,2.336611,1,-1.034500,44.449369,4.094682,-5281.678384,3.800854,0
2010-01-11,sz.000428,57.8414428000,57.9083115200,56.5040684000,57.8414428000,57.5739679200,7328558,62780062.0200,1,2.428603,1,0.464600,44.655870,4.113705,-5306.215798,3.818512,0
2010-01-12,sz.000428,57.5739679200,59.9143731200,56.9052807200,59.8475044000,57.8414428000,14313854,126954801.0100,1,4.743452,1,3.468200,46.204629,4.256377,-5490.246403,3.950946,0
2010-01-13,sz.000428,58.7776048800,61.2517475200,58.1757864000,59.5131608000,59.8475044000,11870723,106401146.6400,1,3.933826,1,-0.558700,45.946502,4.232598,-5459.574636,3.928874,0
2010-01-14,sz.000428,59.4462920800,61.8535660000,58.5101300000,61.6529598400,59.5131608000,13645325,124073981.8700,1,4.521909,1,3.595500,47.598511,4.384781,-5655.873949,4.070137,0
2010-01-15,sz.000428,61.3854849600,62.7228593600,60.2487167200,62.5891219200,61.6529598400,12754663,117582959.4300,1,4.226754,1,1.518400,48.321265,4.451362,-5741.754898,4.131939,0
2010-01-18,sz.000428,62.7897280800,63.1240716800,61.1848788000,62.5891219200,62.5891219200,10106051,94058773.9300,1,3.349033,1,0.000000,48.321265,4.451362,-5741.754898,4.131939,0
2010-01-19,sz.000428,62.5891219200,63.2578091200,61.5192224000,61.5192224000,62.5891219200,8250602,76602865.2600,1,2.734158,1,-1.709400,47.495261,4.375270,-5643.605241,4.061308,0
2010-01-20,sz.000428,61.3854849600,61.4523536800,58.2426551200,58.7776048800,61.5192224000,10925085,97624873.4400,1,3.620452,1,-4.456500,45.378624,4.180285,-5392.096747,3.880315,0
2010-01-21,sz.000428,58.3763925600,59.7806356800,58.3095238400,59.1119484800,58.7776048800,6016201,53074719.6300,1,1.993702,1,0.568800,45.636751,4.204064,-5422.768515,3.902387,0
2010-01-22,sz.000428,58.4432612800,59.2456859200,56.0359873600,57.6408366400,59.1119484800,6608456,56949282.1000,1,2.189969,1,-2.488700,44.500994,4.099438,-5287.812737,3.805269,0
2010-01-25,sz.000428,57.6408366400,57.6408366400,57.6408366400,57.6408366400,57.6408366400,0,0.0000,1,,0,0.000000,44.500994,4.099438,-5287.812737,3.805269,0
2010-01-26,sz.000428,57.5739679200,58.3095238400,54.4980068000,54.7654816800,57.6408366400,5575822,46526213.0100,1,1.847766,1,-4.988400,42.281107,3.894941,-5024.035536,3.615447,0
