date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000419,51.0295423500,51.3720225000,50.4130780800,50.6870622000,50.3445820500,4019748,29816252.1000,1,1.145981,1,0.680300,52.469217,1.218533,25.742032,3.481596,0
2010-01-05,sz.000419,50.8925502900,51.3720225000,49.7281177800,51.3720225000,50.6870622000,4386219,32483722.0900,1,1.250457,1,1.351400,53.178260,1.235000,26.089898,3.528644,0
2010-01-06,sz.000419,51.3720225000,54.4543438500,50.8925502900,53.0844232500,51.3720225000,10377377,80595347.9100,1,2.958462,1,3.333300,54.950869,1.276166,26.959561,3.646266,0
2010-01-07,sz.000419,53.0844232500,54.3173517900,51.7145026500,52.1254788300,53.0844232500,7431485,57695727.7500,1,2.118625,1,-1.806500,53.958208,1.253113,26.472549,3.580398,0
2010-01-08,sz.000419,52.0569828000,54.1118637000,52.0569828000,53.9748716400,52.1254788300,6926229,54008885.1700,1,1.974582,1,3.548000,55.872626,1.297573,27.411786,3.707429,0
2010-01-11,sz.000419,54.1118637000,55.0023120900,52.5364550100,53.0844232500,53.9748716400,10322642,81069574.2700,1,2.942858,1,-1.649700,54.950869,1.276166,26.959561,3.646266,0
2010-01-12,sz.000419,53.0844232500,54.0433676700,52.0569828000,53.9748716400,53.0844232500,6935876,53984163.2500,1,1.977333,1,1.677400,55.872626,1.297573,27.411786,3.707429,0
2010-01-13,sz.000419,52.8104391300,55.4817843000,52.7419431000,54.5913359100,53.9748716400,12744245,101529935.2800,1,3.633227,1,1.142100,56.510765,1.312393,27.724864,3.749773,0
2010-01-14,sz.000419,54.4543438500,57.5366652000,54.4543438500,56.6462168100,54.5913359100,11909052,98499468.1200,1,3.395124,1,3.764100,58.637895,1.361793,28.768460,3.890918,0
2010-01-15,sz.000419,56.7147128400,58.5641056500,55.8927604800,58.2216255000,56.6462168100,12422499,104418314.9600,1,3.541501,1,2.781100,60.268695,1.399666,29.568551,3.999130,0
2010-01-18,sz.000419,58.1531294700,60.6189865500,57.8106493200,60.0025222800,58.2216255000,12270736,106948866.0700,1,3.498235,1,3.058800,62.112208,1.442479,30.473000,4.121457,0
2010-01-19,sz.000419,60.0710183100,64.0437880500,59.5915461000,63.0848436300,60.0025222800,23026743,209806287.7800,1,6.564640,1,5.137000,65.302904,1.516579,32.038394,4.333175,0
2010-01-20,sz.000419,62.3313873000,62.9478515700,60.7559786100,61.3724428800,63.0848436300,14615432,131938026.4000,1,4.166679,1,-2.714400,63.530295,1.475413,31.168731,4.215554,0
2010-01-21,sz.000419,61.1669547900,62.4683793600,60.2080103700,61.3724428800,61.3724428800,7955543,70931133.6800,1,2.268027,1,0.000000,63.530295,1.475413,31.168731,4.215554,0
2010-01-22,sz.000419,60.6189865500,62.5368753900,58.9065858000,62.3313873000,61.3724428800,9629440,85104608.1600,1,2.745234,1,1.562500,64.522956,1.498466,31.655742,4.281422,0
2010-01-25,sz.000419,61.1669547900,61.8519150900,58.2216255000,58.2901215300,62.3313873000,6615447,57681035.0400,1,1.885982,1,-6.483500,60.339599,1.401313,29.603337,4.003835,0
2010-01-26,sz.000419,58.2901215300,60.0025222800,57.2626810800,58.0846334400,58.2901215300,8380209,71276164.8400,1,2.389094,1,-0.352500,60.126886,1.396373,29.498977,3.989720,0
2010-01-27,sz.000419,57.5366652000,59.7285381600,56.0297525400,59.0435778600,58.0846334400,9665792,82448105.9000,1,2.755598,1,1.650900,61.119547,1.419426,29.985989,4.055589,0
