交易日期,证券代码,开盘价,最高价,最低价,收盘价,昨收价,成交量,成交额,复权状态,换手率,交易状态,涨跌幅,滚动市盈率,滚动市销率,滚动市现率,市净率,是否ST
2010-01-04,sz.000413,9.4158617500,9.6398065700,9.3140686500,9.5176548500,9.4056824400,4269179,39759639.3000,后复权,1.509530,正常交易,1.190500,-299.350772,44.687471,4188.535503,15.107729,否
2010-01-05,sz.000413,9.5176548500,9.5481927800,9.3649652000,9.4362203700,9.5176548500,3468185,32139377.7700,后复权,1.226308,正常交易,-0.855600,-296.789482,44.305118,4152.697766,14.978465,否
2010-01-06,sz.000413,9.4362203700,9.5176548500,9.3649652000,9.3853238200,9.4362203700,3295928,30530091.6300,后复权,1.165400,正常交易,-0.539400,-295.188675,44.066147,4130.299181,14.897675,否
2010-01-07,sz.000413,9.3853238200,9.4158617500,8.9781514200,9.0392272800,9.3853238200,4700890,42276539.0600,后复权,1.662178,正常交易,-3.687600,-284.303193,42.441149,3977.988799,14.348303,否
2010-01-08,sz.000413,9.0494065900,9.1104824500,8.9068962500,9.1104824500,9.0392272800,2527917,22389310.3700,后复权,0.893841,正常交易,0.788300,-286.544322,42.775707,4009.346819,14.461409,否
2010-01-11,sz.000413,9.1715583100,9.3140686500,8.9068962500,9.2937100300,9.1104824500,3553488,31922181.2100,后复权,1.256471,正常交易,2.011200,-292.307224,43.636001,4089.981727,14.752253,否
2010-01-12,sz.000413,9.2733514100,9.5278341600,9.1410203800,9.5176548500,9.2937100300,4444361,40887539.0600,后复权,1.571473,正常交易,2.409600,-299.350772,44.687471,4188.535503,15.107729,否
2010-01-13,sz.000413,9.4158617500,9.9757238000,9.2937100300,9.7924962200,9.5176548500,12986173,123759654.7400,后复权,4.591754,正常交易,2.887700,-307.995126,45.977911,4309.487865,15.543995,否
2010-01-14,sz.000413,9.6703445000,9.8739307000,9.5176548500,9.7415996700,9.7924962200,6131348,58598596.0000,后复权,2.167971,正常交易,-0.519800,-306.394319,45.738940,4287.089280,15.463205,否
2010-01-15,sz.000413,9.7517789800,9.7823169100,9.5278341600,9.5787307100,9.7415996700,4043395,38299022.7200,后复权,1.429696,正常交易,-1.671900,-301.271739,44.974235,4215.413806,15.204677,否
2010-01-18,sz.000413,9.5481927800,9.7924962200,9.5176548500,9.7823169100,9.5787307100,3730881,35564540.8200,后复权,1.319195,正常交易,2.125400,-307.674964,45.930117,4305.008148,15.527837,否
2010-01-19,sz.000413,9.8433927700,9.8433927700,9.5278341600,9.5685514000,9.7823169100,3595566,34012288.1400,后复权,1.271349,正常交易,-2.185200,-300.951578,44.926441,4210.934089,15.188519,否
2010-01-20,sz.000413,9.5889100200,9.7212410500,9.3446065800,9.7212410500,9.5685514000,5710040,53268688.2100,后复权,2.019001,正常交易,1.595700,-305.753997,45.643352,4278.129846,15.430889,否
2010-01-21,sz.000413,9.7008824300,10.0367996600,9.6194479500,9.9553651800,9.7212410500,12681775,122766745.5700,后复权,4.484123,正常交易,2.408400,-313.117706,46.742616,4381.163339,15.802523,否
2010-01-22,sz.000413,9.8535720800,9.8535720800,9.1613790000,9.4260410600,9.9553651800,5567084,51804873.6400,后复权,1.968454,正常交易,-5.317000,-296.469320,44.257324,4148.218049,14.962307,否
2010-01-25,sz.000413,9.2733514100,9.3140686500,8.8356410800,8.8458203900,9.4260410600,4248225,37720338.2100,后复权,1.502121,正常交易,-6.155500,-278.220129,41.533061,3892.874174,14.041301,否
2010-01-26,sz.000413,8.8559997000,8.9781514200,8.2554204100,8.3470342000,8.8458203900,3071597,25876413.8900,后复权,1.086080,正常交易,-5.638700,-262.532228,39.191151,3673.368035,13.249559,否
2010-01-27,sz.000413,8.3979307500,8.4997238500,8.1739859300,8.2350617900,8.3470342000,2002887,16366144.1600,后复权,0.708197,正常交易,-1.341500,-259.010454,38.665416,3624.091147,13.071821,否
2010-01-28,sz.000413,8.2452411000,8.3164962700,8.1943445500,8.2859583400,8.2350617900,1849336,15001938.2000,后复权,0.653903,正常交易,0.618000,-260.611260,38.904386,3646.489732,13.152611,否
2010-01-29,sz.000413,8.2452411000,8.4284686800,8.1841652400,8.2859583400,8.2859583400,1566954,12843091.6300,后复权,0.554056,正常交易,0.000000,-260.611260,38.904386,3646.489732,13.152611,否
2010-02-01,sz.000413,8.2859583400,8.3775721300,8.2045238600,8.2655997200,8.2859583400,1868787,15184838.7400,后复权,0.660781,正常交易,-0.245700,-259.970938,38.808798,3637.530298,13.120295,否
2010-02-02,sz.000413,8.3673928200,8.3877514400,8.2248824800,8.2350617900,8.2655997200,1466487,11979273.1100,后复权,0.518532,正常交易,-0.369500,-259.010454,38.665416,3624.091147,13.071821,否
2010-02-03,sz.000413,8.2350617900,8.4284686800,7.8380687000,8.4284686800,8.2350617900,2697396,21673451.6700,后复权,0.953767,正常交易,2.348600,-265.093518,39.573503,3709.205772,13.378823,否
