date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-04-12,sh.600695,2.1700,2.1700,2.1700,2.1700,2.2800,1947800,4226726.0000,3,0.531500,1,-4.824600,1
2022-04-13,sh.600695,2.0600,2.0600,2.0600,2.0600,2.1700,1902400,3918944.0000,3,0.519100,1,-5.069100,1
2022-04-14,sh.600695,1.9600,2.1300,1.9600,1.9700,2.0600,36966488,73965560.4500,3,10.087300,1,-4.368900,1
2022-04-15,sh.600695,1.8700,1.9000,1.8700,1.8700,1.9700,11988951,22487518.8800,3,3.271500,1,-5.076100,1
2022-04-18,sh.600695,1.7800,1.8500,1.7800,1.7800,1.8700,23785795,42553689.5800,3,6.490600,1,-4.812800,1
2022-04-19,sh.600695,1.7300,1.8000,1.6900,1.7000,1.7800,22100972,38035278.9800,3,6.030800,1,-4.494400,1
2022-04-20,sh.600695,1.7000,1.7900,1.6900,1.7900,1.7000,10023220,17721523.7200,3,2.735100,1,5.294100,1
2022-04-21,sh.600695,1.8400,1.8800,1.7700,1.8800,1.7900,34145657,63157850.2800,3,9.317500,1,5.027900,1
2022-04-22,sh.600695,1.8000,1.8100,1.7900,1.7900,1.8800,6299900,11293161.0000,3,1.719100,1,-4.787200,1
2022-04-25,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7900,2939000,4996300.0000,3,0.802000,1,-5.027900,1
2022-04-26,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-04-27,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-04-28,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-04-29,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-05,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-06,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-09,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-10,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-11,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-12,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-13,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-16,sh.600695,1.7000,1.7000,1.7000,1.7000,1.7000,0,0.0000,3,,0,0.000000,1
2022-05-17,sh.600695,0.5100,0.5500,0.4900,0.5200,1.7000,77719280,39662303.0600,3,21.207700,1,-69.411800,0
2022-05-18,sh.600695,0.5200,0.5700,0.5200,0.5400,0.5200,34169988,18554758.7900,3,9.324200,1,3.846200,0
2022-05-19,sh.600695,0.5300,0.5500,0.5200,0.5400,0.5400,22590196,12106250.5600,3,6.164300,1,0.000000,0
2022-05-20,sh.600695,0.5400,0.5400,0.5200,0.5300,0.5400,21395963,11270033.3700,3,5.838400,1,-1.851900,0
2022-05-23,sh.600695,0.5300,0.5400,0.5200,0.5300,0.5300,7593130,3987680.6000,3,2.072000,1,0.000000,0
2022-05-24,sh.600695,0.5300,0.5300,0.5100,0.5100,0.5300,12552500,6546472.0000,3,3.425300,1,-3.773600,0
2022-05-25,sh.600695,0.5100,0.5400,0.5100,0.5300,0.5100,14976511,7834809.2600,3,4.086700,1,3.921600,0
2022-05-26,sh.600695,0.5300,0.5300,0.5100,0.5300,0.5300,11502891,5995648.3200,3,3.138900,1,0.000000,0
2022-05-27,sh.600695,0.5200,0.5300,0.5100,0.5200,0.5300,9668102,5039158.0200,3,2.638200,1,-1.886800,0
2022-05-30,sh.600695,0.5200,0.5300,0.5100,0.5300,0.5200,7444977,3890054.0400,3,2.031600,1,1.923100,0
2022-05-31,sh.600695,0.5300,0.5300,0.5200,0.5300,0.5300,9459042,4981968.8400,3,2.581100,1,0.000000,0
2022-06-01,sh.600695,0.5300,0.5300,0.5100,0.5200,0.5300,9053250,4707900.0000,3,2.470400,1,-1.886800,0
2022-06-02,sh.600695,0.5200,0.5200,0.4900,0.4900,0.5200,14476791,7203481.5900,3,3.950400,1,-5.769200,0
2022-06-06,sh.600695,0.4900,0.5300,0.4800,0.5200,0.4900,18435771,9275939.7400,3,5.030700,1,6.122400,0
2022-06-07,sh.600695,0.5100,0.5300,0.5000,0.5100,0.5200,18145610,9297053.0000,3,4.951500,1,-1.923100,0
2022-06-08,sh.600695,0.5100,0.5100,0.5100,0.5100,0.5100,,,3,,0,,0
2022-06-09,sh.600695,0.5100,0.5100,0.5100,0.5100,0.5100,,,3,,0,,0
2022-06-10,sh.600695,0.5100,0.5100,0.5100,0.5100,0.5100,,,3,,0,,0
2022-06-13,sh.600695,0.5100,0.5100,0.5100,0.5100,0.5100,,,3,,0,,0
